,0,1
0,-1703.1852328263194,15.76998233795166
1,-1888.4874356824937,-29.402099609375
2,-1850.5673703689913,-73.53392028808594
3,-1936.1074820111594,-118.67660522460938
4,-1801.1168864519168,-167.54212951660156
5,-1821.4296885158378,-212.9757843017578
6,-1808.3185280403454,-265.06610107421875
7,-1829.261206342094,-308.1571350097656
8,-1736.2867746171692,-360.7005615234375
9,-1855.7371261637884,-410.302001953125
10,-1711.3273855288303,-460.6041564941406
11,-1739.4401542850487,-515.9381713867188
12,-1762.4786134848248,-572.1875610351562
13,-1803.289326380244,-624.1761474609375
14,-1886.4145834767617,-680.45263671875
15,-1854.1265606144407,-738.4315795898438
16,-1752.7351479326433,-805.6126098632812
17,-1589.3281517354815,-871.3593139648438
18,-1743.9243634486415,-932.7987670898438
19,-1815.4328566277218,-992.5494995117188
20,-1718.2785746253808,-1064.9378662109375
21,-1686.5475298894846,-1134.1563720703125
22,-1803.4531089942095,-1192.3597412109375
23,-1822.2440122998687,-1257.2706298828125
24,-1716.0697508649216,-1327.9080810546875
25,-1743.8742050939327,-1404.0577392578125
26,-1648.0069901866057,-1466.06884765625
27,-1773.910499943787,-1527.9324951171875
28,-1749.9005052056727,-1592.5789794921875
29,-1767.8664794118813,-1637.5084228515625
30,-1829.3123347467906,-1691.71142578125
31,-1644.4226224556958,-1751.5096435546875
32,-1605.6399344414308,-1795.244140625
33,-1731.0570844399415,-1832.2393798828125
34,-1742.315529565539,-1862.876708984375
35,-1834.2094833789292,-1866.1300048828125
36,-1751.2317071728362,-1900.1131591796875
37,-1808.8427931779893,-1915.5059814453125
38,-1662.014518066245,-1959.1934814453125
39,-1789.7544343636655,-1914.1387939453125
40,-1719.751436584506,-1949.6326904296875
41,-1743.5504942058274,-1936.041259765625
42,-1718.4956223015092,-1943.1783447265625
43,-1773.1224321093407,-1916.379638671875
44,-1687.8175366278606,-1941.13232421875
45,-1854.4929626718572,-1894.812255859375
46,-1764.1941624262668,-1879.220458984375
47,-1734.68617508343,-1832.71630859375
48,-1709.9270156207845,-1918.0595703125
49,-1836.92048722699,-1793.8841552734375
50,-1746.1530547760583,-1826.5618896484375
51,-1724.906547112371,-1814.3448486328125
52,-1717.1611375270218,-1807.041015625
53,-1731.625001802307,-1797.46435546875
54,-1729.1148862622686,-1766.364990234375
55,-1740.930056472517,-1759.4287109375
56,-1659.2985923700876,-1747.4906005859375
57,-1716.6262381338838,-1711.9730224609375
58,-1672.2781525674077,-1645.733642578125
59,-1712.6459894230932,-1685.9971923828125
60,-1709.9942377122886,-1669.0555419921875
61,-1808.2300112248547,-1680.246826171875
62,-1726.6421217105737,-1660.2198486328125
63,-1736.0359799686175,-1693.635986328125
64,-1814.0102139361763,-1669.346923828125
65,-1822.225662814133,-1626.36962890625
66,-1703.2920566394569,-1682.959716796875
67,-1784.6189161620164,-1686.7987060546875
68,-1728.889042301614,-1704.5789794921875
69,-1771.8021766785303,-1677.149169921875
70,-1682.9451328265554,-1695.2310791015625
