,no vaccine,RL,equal dist,all to group 1,all to group 2,all to group 3,all to group 4,all to group 5,all to group 6,all to group 7,all to group 8,all to group 9,all to group 10,maxS,maxI,maxContact,maxEquity
0,-4572.0,-2291.0,-2680.7999999999997,-3731.0,-3562.0,-3689.0,-3426.0,-3734.0,-3686.0,-3509.0,-3566.0,-3361.0,-3790.0,-3251.0,-3045.0,-2913.0,-3017.0
1,-4586.4,-2359.0,-3055.2,-3638.0,-3424.0,-3747.0,-3440.0,-3802.0,-3702.0,-3556.0,-3427.0,-3237.0,-3822.0,-3148.0,-3235.0,-2954.0,-3148.0
2,-4504.8,-2472.0,-2685.6,-3812.0,-3171.0,-3732.0,-3558.0,-3892.0,-3761.0,-3332.0,-3469.0,-3580.0,-3708.0,-3192.0,-3020.0,-3221.0,-3146.0
3,-4531.2,-2118.0,-3163.2,-3570.0,-3386.0,-3656.0,-3536.0,-3705.0,-3668.0,-3604.0,-3450.0,-3367.0,-3762.0,-3172.0,-3086.0,-3016.0,-3141.0
4,-4369.2,-2542.0,-2412.0,-3724.0,-3488.0,-3658.0,-3562.0,-3698.0,-3557.0,-3490.0,-3563.0,-3508.0,-3783.0,-3061.0,-3014.0,-3073.0,-3172.0
5,-4683.599999999999,-2495.0,-2821.2,-3864.0,-3577.0,-3656.0,-3463.0,-3636.0,-3790.0,-3239.0,-3606.0,-3472.0,-3860.0,-3116.0,-3050.0,-2802.0,-2997.0
6,-4434.0,-2326.0,-2838.0,-3605.0,-3398.0,-3614.0,-3365.0,-3687.0,-3629.0,-3406.0,-3558.0,-3413.0,-3714.0,-2994.0,-2972.0,-3031.0,-3044.0
7,-4605.599999999999,-2145.0,-2827.2,-3596.0,-3557.0,-3662.0,-3537.0,-3699.0,-3644.0,-3337.0,-3532.0,-3498.0,-3792.0,-2886.0,-2983.0,-3142.0,-2871.0
8,-4581.599999999999,-2596.0,-2886.0,-3544.0,-3424.0,-3460.0,-3462.0,-3738.0,-3585.0,-3451.0,-3765.0,-3482.0,-3697.0,-2885.0,-2988.0,-2802.0,-2883.0
9,-4574.4,-2495.0,-2766.0,-3694.0,-3462.0,-3621.0,-3463.0,-3882.0,-3752.0,-3274.0,-3650.0,-3358.0,-3642.0,-2991.0,-3069.0,-3053.0,-3086.0
10,-4712.4,-2374.0,-2485.2,-3712.0,-3533.0,-3656.0,-3262.0,-3593.0,-3714.0,-3585.0,-3567.0,-3541.0,-3821.0,-3153.0,-3040.0,-3059.0,-3146.0
11,-4587.599999999999,-2503.0,-2624.4,-3754.0,-3431.0,-3657.0,-3490.0,-3910.0,-3745.0,-3394.0,-3642.0,-3544.0,-3680.0,-2850.0,-3095.0,-2886.0,-3106.0
12,-4503.599999999999,-2251.0,-2916.0,-3802.0,-3574.0,-3579.0,-3447.0,-3620.0,-3769.0,-3561.0,-3638.0,-3541.0,-3534.0,-3018.0,-2996.0,-3079.0,-3064.0
13,-4706.4,-2434.0,-2618.4,-3834.0,-3279.0,-3617.0,-3365.0,-3730.0,-3601.0,-3480.0,-3601.0,-3513.0,-3769.0,-3158.0,-2899.0,-2973.0,-3107.0
14,-4538.4,-1839.0,-2404.7999999999997,-3738.0,-3275.0,-3595.0,-3370.0,-3632.0,-3601.0,-3252.0,-3572.0,-3713.0,-3564.0,-3150.0,-3150.0,-2902.0,-3072.0
15,-4663.2,-2423.0,-3025.2,-3758.0,-3701.0,-3470.0,-3507.0,-3769.0,-3644.0,-3337.0,-3499.0,-3367.0,-3528.0,-3148.0,-3136.0,-3280.0,-3169.0
16,-4449.599999999999,-2051.0,-2812.7999999999997,-3543.0,-3561.0,-3696.0,-3631.0,-3668.0,-3767.0,-3545.0,-3703.0,-3629.0,-3620.0,-3093.0,-3130.0,-3169.0,-3020.0
17,-4328.4,-2639.0,-2526.0,-3783.0,-3491.0,-3654.0,-3505.0,-3631.0,-3642.0,-3094.0,-3609.0,-3591.0,-3719.0,-3148.0,-3066.0,-3123.0,-3159.0
18,-4549.2,-2297.0,-2634.0,-3629.0,-3524.0,-3587.0,-3335.0,-3686.0,-3649.0,-3660.0,-3656.0,-3436.0,-3780.0,-2928.0,-3065.0,-3069.0,-2878.0
19,-4660.8,-2591.0,-2853.6,-3593.0,-3442.0,-3726.0,-3377.0,-3598.0,-3604.0,-3537.0,-3587.0,-3510.0,-3612.0,-3044.0,-3081.0,-3144.0,-3055.0
20,-4526.4,-2579.0,-3200.4,-3580.0,-3358.0,-3698.0,-3474.0,-3676.0,-3581.0,-3380.0,-3544.0,-3499.0,-3695.0,-3242.0,-2985.0,-2869.0,-2953.0
21,-4664.4,-2465.0,-3082.7999999999997,-3640.0,-3435.0,-3650.0,-3606.0,-3787.0,-3605.0,-3448.0,-3572.0,-3429.0,-3801.0,-2987.0,-3109.0,-2981.0,-2813.0
22,-4664.4,-2499.0,-2907.6,-3872.0,-3378.0,-3623.0,-3507.0,-3756.0,-3660.0,-3507.0,-3633.0,-3437.0,-3681.0,-3101.0,-2883.0,-3130.0,-2781.0
23,-4645.2,-2266.0,-3073.2,-3694.0,-3426.0,-3608.0,-3469.0,-3535.0,-3679.0,-3405.0,-3484.0,-3554.0,-3742.0,-2706.0,-3038.0,-2931.0,-3272.0
24,-4700.4,-2249.0,-2820.0,-3698.0,-3336.0,-3751.0,-3616.0,-3773.0,-3741.0,-3377.0,-3582.0,-3348.0,-3638.0,-3057.0,-3169.0,-3094.0,-2979.0
25,-4642.8,-2248.0,-2672.4,-3752.0,-3578.0,-3439.0,-3499.0,-3693.0,-3724.0,-3634.0,-3668.0,-3397.0,-3575.0,-2853.0,-3015.0,-3013.0,-2980.0
26,-4652.4,-2346.0,-2851.2,-3780.0,-3364.0,-3668.0,-3645.0,-3774.0,-3715.0,-3507.0,-3544.0,-3440.0,-3748.0,-2985.0,-3166.0,-3035.0,-3011.0
27,-4582.8,-2356.0,-2914.7999999999997,-3678.0,-3588.0,-3635.0,-3513.0,-3631.0,-3697.0,-3204.0,-3664.0,-3506.0,-3752.0,-3153.0,-2847.0,-3150.0,-2958.0
28,-4578.0,-2367.0,-3025.2,-3680.0,-3377.0,-3663.0,-3523.0,-3582.0,-3649.0,-3235.0,-3502.0,-3656.0,-3652.0,-3033.0,-3168.0,-3134.0,-2934.0
29,-4622.4,-2121.0,-2596.7999999999997,-3673.0,-3644.0,-3691.0,-3463.0,-3725.0,-3602.0,-3414.0,-3699.0,-3334.0,-3637.0,-2953.0,-2913.0,-3114.0,-2931.0
30,-4545.599999999999,-2627.0,-2787.6,-3843.0,-3291.0,-3578.0,-3542.0,-3558.0,-3753.0,-3467.0,-3628.0,-3495.0,-3866.0,-3067.0,-3036.0,-3108.0,-3055.0
