,RL2,no vaccine,RL,equal dist,all to group 1,all to group 2,all to group 3,all to group 4,all to group 5,all to group 6,all to group 7,all to group 8,all to group 9,all to group 10,maxS,maxI,maxContact,maxEquity
0,-2783.0,-5841.599999999999,-2394.0,-2428.7999999999997,-4597.0,-4314.0,-4387.0,-4207.0,-4578.0,-4376.0,-3712.0,-4599.0,-4560.0,-4612.0,-3904.0,-3866.0,-3581.0,-3177.0
1,-2781.0,-5671.2,-2743.0,-1987.1999999999998,-4516.0,-4158.0,-4479.0,-4722.0,-4985.0,-4488.0,-4476.0,-4516.0,-3840.0,-4516.0,-3775.0,-3579.0,-3837.0,-4142.0
2,-2223.0,-5676.0,-2482.0,-2662.7999999999997,-4604.0,-4261.0,-4316.0,-4009.0,-4572.0,-4711.0,-4355.0,-4403.0,-4264.0,-4538.0,-3711.0,-3726.0,-3685.0,-3888.0
3,-2516.0,-5647.2,-2404.0,-3004.7999999999997,-4694.0,-4644.0,-4701.0,-4445.0,-4374.0,-4832.0,-4419.0,-4413.0,-4483.0,-4467.0,-3730.0,-3747.0,-3867.0,-3359.0
4,-2790.0,-5926.8,-2333.0,-3182.4,-4875.0,-4245.0,-4681.0,-4134.0,-4772.0,-4633.0,-4131.0,-4549.0,-3982.0,-4847.0,-3482.0,-3696.0,-3859.0,-3829.0
5,-2751.0,-5668.8,-2583.0,-3121.2,-4446.0,-4175.0,-4124.0,-4075.0,-4298.0,-4581.0,-4257.0,-4316.0,-4201.0,-4731.0,-4061.0,-3585.0,-3298.0,-3763.0
6,-2355.0,-5686.8,-3007.0,-3141.6,-4489.0,-4106.0,-4252.0,-4369.0,-3985.0,-4325.0,-3957.0,-4536.0,-4173.0,-4659.0,-3878.0,-3387.0,-3335.0,-3782.0
7,-2900.0,-5649.599999999999,-2610.0,-2990.4,-4472.0,-4085.0,-4710.0,-4395.0,-4693.0,-4576.0,-3848.0,-4777.0,-4658.0,-4972.0,-3598.0,-3605.0,-3577.0,-3902.0
8,-2338.0,-6020.4,-2905.0,-3087.6,-4378.0,-4201.0,-4228.0,-4132.0,-4375.0,-4484.0,-3790.0,-4657.0,-3879.0,-4680.0,-3758.0,-4051.0,-3931.0,-3639.0
9,-2682.0,-5143.2,-2700.0,-3102.0,-4588.0,-4017.0,-4852.0,-4556.0,-4623.0,-4506.0,-4172.0,-4335.0,-4291.0,-4607.0,-3442.0,-3936.0,-3706.0,-3921.0
10,-2953.0,-5470.8,-2694.0,-2728.7999999999997,-4432.0,-4474.0,-4481.0,-4033.0,-4252.0,-4744.0,-4519.0,-4285.0,-4114.0,-4517.0,-3952.0,-3575.0,-3656.0,-3744.0
11,-2522.0,-5473.2,-2400.0,-2707.2,-4304.0,-4487.0,-4532.0,-3794.0,-4926.0,-4692.0,-4023.0,-4769.0,-4139.0,-4565.0,-4093.0,-3767.0,-3466.0,-3338.0
12,-2334.0,-5649.599999999999,-2789.0,-2710.7999999999997,-4700.0,-4346.0,-4476.0,-4471.0,-4237.0,-4566.0,-4277.0,-4573.0,-3938.0,-4431.0,-3755.0,-3990.0,-3820.0,-3619.0
13,-2924.0,-5292.0,-2631.0,-3279.6,-4752.0,-4063.0,-4701.0,-4083.0,-4627.0,-4700.0,-4388.0,-4378.0,-4037.0,-4439.0,-3427.0,-3576.0,-3816.0,-3535.0
14,-2600.0,-5187.599999999999,-2857.0,-3399.6,-4624.0,-4237.0,-4230.0,-3883.0,-4881.0,-4475.0,-4500.0,-4629.0,-4438.0,-4222.0,-3665.0,-3478.0,-3738.0,-3268.0
15,-2174.0,-5164.8,-2613.0,-2947.2,-4640.0,-4474.0,-4747.0,-4280.0,-4714.0,-4448.0,-4102.0,-4346.0,-4559.0,-4632.0,-3995.0,-3622.0,-3525.0,-4021.0
16,-2528.0,-5426.4,-2450.0,-2806.7999999999997,-4728.0,-4266.0,-4446.0,-4541.0,-4704.0,-4838.0,-4190.0,-4607.0,-4095.0,-4593.0,-3998.0,-3646.0,-3955.0,-3895.0
17,-2378.0,-5338.8,-2846.0,-2738.4,-4575.0,-4308.0,-4695.0,-4208.0,-4483.0,-4732.0,-4090.0,-4416.0,-4095.0,-4460.0,-3816.0,-3599.0,-3456.0,-3720.0
18,-2949.0,-5845.2,-2417.0,-2642.4,-4683.0,-4579.0,-4442.0,-4354.0,-4721.0,-4648.0,-3916.0,-4416.0,-4405.0,-4798.0,-3797.0,-3770.0,-3452.0,-3493.0
19,-2401.0,-5629.2,-2283.0,-2979.6,-4684.0,-4566.0,-4363.0,-4632.0,-4601.0,-4310.0,-4641.0,-4589.0,-4316.0,-4571.0,-3069.0,-3709.0,-3728.0,-3780.0
20,-2747.0,-5224.8,-2502.0,-2953.2,-4311.0,-4270.0,-4519.0,-3904.0,-4699.0,-4651.0,-4830.0,-4272.0,-4094.0,-4466.0,-3665.0,-3880.0,-3709.0,-3730.0
21,-2101.0,-5660.4,-2814.0,-2647.2,-4042.0,-4430.0,-4346.0,-4468.0,-4367.0,-4456.0,-3911.0,-4514.0,-4153.0,-4864.0,-3457.0,-3696.0,-4083.0,-3880.0
22,-2578.0,-5355.599999999999,-2774.0,-3097.2,-4695.0,-4274.0,-4177.0,-4162.0,-4738.0,-4627.0,-4032.0,-4656.0,-4448.0,-4759.0,-3814.0,-3608.0,-3457.0,-3399.0
23,-2554.0,-5546.4,-2421.0,-3279.6,-4823.0,-4300.0,-4126.0,-4343.0,-4622.0,-4398.0,-3878.0,-4293.0,-4174.0,-4823.0,-3820.0,-3822.0,-4057.0,-3762.0
24,-2266.0,-5701.2,-2606.0,-3236.4,-4862.0,-4119.0,-4712.0,-4559.0,-4815.0,-4609.0,-4247.0,-4769.0,-4361.0,-4475.0,-3458.0,-3228.0,-3967.0,-3502.0
25,-2670.0,-5622.0,-2211.0,-3031.2,-4649.0,-3966.0,-4855.0,-3848.0,-4649.0,-4663.0,-4332.0,-3974.0,-4136.0,-4810.0,-3796.0,-3407.0,-3674.0,-4043.0
26,-2880.0,-5156.4,-2320.0,-2581.2,-4398.0,-4121.0,-4528.0,-4539.0,-4420.0,-4874.0,-4367.0,-4240.0,-4155.0,-4661.0,-3289.0,-3501.0,-3552.0,-3848.0
27,-2142.0,-5721.599999999999,-2266.0,-2793.6,-4797.0,-4334.0,-4159.0,-4366.0,-4604.0,-4775.0,-4665.0,-4416.0,-4113.0,-4661.0,-3514.0,-3746.0,-3824.0,-3886.0
28,-2759.0,-5616.0,-2955.0,-2722.7999999999997,-4657.0,-4041.0,-4703.0,-4452.0,-4764.0,-4084.0,-3939.0,-4145.0,-3998.0,-4558.0,-3843.0,-3586.0,-3903.0,-3693.0
29,-2660.0,-5480.4,-2562.0,-3583.2,-4606.0,-4220.0,-4662.0,-4280.0,-4767.0,-4771.0,-3959.0,-4535.0,-4680.0,-4602.0,-3549.0,-3425.0,-3924.0,-3942.0
30,-2552.0,-5059.2,-2304.0,-2594.4,-4417.0,-4077.0,-4525.0,-4411.0,-4455.0,-4406.0,-4401.0,-4685.0,-4162.0,-4573.0,-3860.0,-3698.0,-3814.0,-3870.0
31,-2401.0,-5290.8,-2750.0,-3206.4,-4528.0,-3942.0,-4481.0,-3991.0,-4331.0,-4569.0,-4235.0,-4683.0,-4418.0,-4657.0,-3501.0,-3955.0,-3954.0,-3511.0
32,-2086.0,-5756.4,-2472.0,-3112.7999999999997,-4597.0,-4520.0,-4386.0,-4428.0,-4534.0,-4347.0,-4616.0,-4461.0,-4069.0,-4369.0,-3802.0,-3571.0,-3793.0,-3958.0
33,-2470.0,-5342.4,-2682.0,-2512.7999999999997,-4717.0,-4542.0,-4612.0,-4356.0,-4623.0,-4764.0,-4200.0,-4684.0,-4274.0,-4728.0,-3645.0,-3766.0,-3457.0,-3603.0
34,-2745.0,-5744.4,-2513.0,-1953.6,-4675.0,-4592.0,-4615.0,-4501.0,-3986.0,-4178.0,-3911.0,-4626.0,-4463.0,-4559.0,-3581.0,-3655.0,-3413.0,-3396.0
35,-2201.0,-5695.2,-2288.0,-3295.2,-4589.0,-4018.0,-4533.0,-4684.0,-4329.0,-4630.0,-4291.0,-4405.0,-4394.0,-4647.0,-3598.0,-3493.0,-4084.0,-3663.0
36,-2235.0,-5583.599999999999,-2091.0,-3123.6,-4623.0,-3931.0,-4460.0,-4390.0,-4380.0,-4621.0,-4180.0,-4538.0,-3934.0,-4550.0,-3789.0,-3854.0,-3442.0,-3531.0
37,-2258.0,-5620.8,-2546.0,-2018.3999999999999,-5006.0,-4472.0,-4579.0,-4270.0,-4963.0,-4706.0,-4207.0,-4583.0,-4454.0,-4937.0,-3416.0,-3698.0,-3415.0,-3763.0
38,-2318.0,-5881.2,-2743.0,-2656.7999999999997,-4842.0,-3844.0,-4930.0,-4407.0,-5013.0,-4452.0,-4303.0,-4771.0,-4112.0,-4531.0,-3826.0,-3807.0,-3637.0,-3470.0
39,-2812.0,-5757.599999999999,-2474.0,-2998.7999999999997,-4682.0,-4008.0,-4293.0,-4539.0,-4776.0,-4490.0,-4401.0,-3974.0,-4195.0,-4597.0,-3670.0,-3880.0,-3533.0,-3795.0
40,-3289.0,-5086.8,-2448.0,-3310.7999999999997,-4594.0,-3915.0,-4515.0,-4230.0,-4543.0,-4827.0,-3726.0,-4367.0,-4380.0,-4610.0,-3547.0,-3185.0,-3601.0,-3341.0
41,-2369.0,-5758.8,-2553.0,-3046.7999999999997,-4540.0,-4101.0,-4306.0,-3789.0,-4822.0,-4683.0,-4331.0,-4476.0,-4333.0,-4594.0,-3956.0,-3656.0,-3339.0,-3983.0
